layout,robots,mean_gain_across_N,mean_t_all_across_N,min_gain,max_gain,total_improved_count,total_worsened_count,mean_friction_reduction,mean_exit_idle_reduction,mean_blockage_reduction,mean_exit_mu_eff,robot_overlap_cells
"Aligned-A1 (15,32)+(18,32)","(15, 32);(18, 32)",28.493333333333332,261.68,11.7,39.53333333333333,138,10,578.74,3.44,4.9,0.43839144678161845,44
"Wide-A1 (14,32)+(19,32)","(14, 32);(19, 32)",19.439999999999998,270.73333333333335,4.933333333333334,27.566666666666666,121,27,489.87999999999994,2.4066666666666667,3.34,0.49240959812916374,30
"Staggered-S1 (15,30)+(18,32)","(15, 30);(18, 32)",17.833333333333336,272.34000000000003,5.566666666666666,27.966666666666665,121,28,496.54666666666674,1.8933333333333333,3.453333333333333,0.519195723390809,43
"Staggered-S2 (18,28)+(15,32)","(18, 28);(15, 32)",16.44666666666667,273.7266666666667,4.166666666666667,24.133333333333333,117,29,455.9266666666666,1.5,2.84,0.519195723390809,32
"Staggered-S0 (18,30)+(15,32)","(18, 30);(15, 32)",16.4,273.7733333333333,6.133333333333334,23.066666666666666,116,32,478.72666666666663,1.2666666666666668,3.04,0.519195723390809,43
"Aligned-A0 (15,30)+(18,30)","(15, 30);(18, 30)",2.3466666666666667,287.82666666666665,-0.7333333333333333,10.6,83,63,350.8,0.03333333333333335,1.2133333333333334,0.6000000000000001,52
No-Robot,,0.0,290.17333333333335,0.0,0.0,0,0,0.0,0.0,0.0,0.6000000000000001,0
