first50_mean_t80,first50_std_t80,first50_mean_invalid,mid50_mean_t80,mid50_std_t80,mid50_mean_invalid,last50_mean_t80,last50_std_t80,last50_mean_invalid,last100_mean_t80,last100_std_t80,last100_mean_invalid,algorithm,episodes,success_80_rate,best_train_t80,last50_minus_first50,last50_minus_prev50
180.96,12.240714931768338,39.62,181.14,10.1880482198806,71.4,181.38,10.868208646491539,88.1,180.65,11.304218395596997,86.12,IDQN-2R,500,1.0,156,0.4199999999999875,1.460000000000008
179.42,9.430930440820346,58.4,180.66,9.533207268088034,184.54,183.42,10.75722822959862,56.28,182.78,10.942069680315917,51.21,QMIX-2R,500,1.0,155,4.0,1.2800000000000011
