n,mean_aligned_t_all,mean_staggered_t_all,staggered_gain_vs_aligned,ci95_low,ci95_high,staggered_better_count,aligned_better_count,same_count,friction_reduction_staggered_vs_aligned,exit_idle_reduction_staggered_vs_aligned
40,140.26666666666668,133.4,6.866666666666666,2.7534747765521024,10.979858556781231,21,5,4,36.6,-0.2
70,221.7,208.73333333333332,12.966666666666667,7.789956848993044,18.14337648434029,24,6,0,90.36666666666666,1.1666666666666667
100,301.3,292.93333333333334,8.366666666666667,2.2319877088312365,14.501345624502097,21,9,0,92.8,1.5
120,359.3,340.26666666666665,19.033333333333335,10.707418220420342,27.359248446246326,23,5,2,182.36666666666667,0.7
140,416.56666666666666,393.53333333333336,23.033333333333335,14.934862018335254,31.131804648331418,24,6,0,237.5,3.0
