time,Device,Device01,Device02,Device03,Device04,Device05,Device06,Device07,Device08,Device09,Device10,Device11,Device12,Device13,Device14,Device15,Device16,Device17,Device18,Device19,Device20
1.3752098,8.8984299e-13,20.086734,20.040194,20.022619,20.017655,20.017126,20.016761,20.403997,20.093894,20.035198,20.021343,20.017442,20.016648,20.565384,20.11609,20.040139,20.024326,20.017941,20.016734,20.016335,20.016309
1.4128855,1.0974381e-12,20.096265,20.044195,20.024372,20.01863,20.017923,20.017508,20.445571,20.103453,20.038488,20.022891,20.018364,20.017399,20.623132,20.127776,20.043765,20.026104,20.018871,20.017483,20.017024,20.016986
1.4456593,1.3217249e-12,20.105557,20.048658,20.026873,20.020453,20.019591,20.019134,20.483254,20.112777,20.04233,20.025214,20.020142,20.019028,20.676092,20.138968,20.047899,20.028628,20.020657,20.01911,20.0186,20.018551
1.4784331,1.5526486e-12,20.113662,20.051962,20.028221,20.021125,20.020108,20.019607,20.518884,20.120913,20.045015,20.026384,20.020768,20.019505,20.724945,20.148939,20.050875,20.029998,20.02129,20.019586,20.019023,20.018964
1.511207,1.8378122e-12,20.123688,20.056792,20.030956,20.023153,20.021974,20.021429,20.556787,20.130495,20.049078,20.028912,20.022743,20.02133,20.778874,20.160803,20.05528,20.032733,20.023271,20.021407,20.020792,20.020721
1.5439808,2.1170211e-12,20.132185,20.060136,20.032216,20.023707,20.022365,20.021777,20.591911,20.138548,20.051659,20.029964,20.023245,20.021681,20.827014,20.171091,20.058201,20.03399,20.023778,20.021755,20.021086,20.021004
1.5767546,2.4554567e-12,20.142206,20.064962,20.034947,20.025731,20.024227,20.023594,20.629751,20.148132,20.055718,20.032488,20.025216,20.023501,20.880908,20.182949,20.062601,20.036721,20.025755,20.023572,20.022851,20.022757
1.6095285,2.7832106e-12,20.150898,20.068404,20.036283,20.026353,20.024684,20.024007,20.664978,20.156587,20.058484,20.033634,20.025788,20.023919,20.931202,20.193618,20.065627,20.038052,20.026327,20.023982,20.023207,20.023102
1.6423023,3.1702279e-12,20.160999,20.073211,20.038973,20.028327,20.026494,20.025772,20.702824,20.166455,20.062612,20.036133,20.027712,20.025688,20.987217,20.205748,20.070015,20.040738,20.028251,20.025744,20.024916,20.024799
1.6750761,3.5391593e-12,20.169653,20.076624,20.040281,20.028921,20.026924,20.026157,20.737819,20.174879,20.06535,20.037252,20.028256,20.026077,21.036982,20.216377,20.073011,20.042041,20.028795,20.026127,20.025245,20.025116
