UTC时间,卫星,速度 (公里/小时),航向 (度),纬度,经度,GPS卫星,Glonass卫星,BrakeTrigger,高度 (米),速度品质 (公里/小时),垂直速度 (公里/小时),触发事件时间 (s),解决方案类型,Elapsed time (s),Distance (米),Lateral acceleration (G),Longitudinal acceleration (G),Relative height (米),Radius of turn (米),DIS33 (米),v (公里/小时),oil (ml),IMU Kalman Filter Status,CustomBrakeTrigger_|_ContextSpecificChannel_|_2d058a7d-adf4-4854-8fa0-2a376f2a4032,Centre Line Deviation_|_ContextSpecificChannel_|_2d058a7d-adf4-4854-8fa0-2a376f2a4032 (米)
001846.170,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.339996337891,0,0,0.00
001846.180,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.01,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.350006103516,0,0,0.00
001846.190,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.02,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.359985351563,0,0,0.00
001846.200,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.03,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.359985351563,0,0,0.00
001846.210,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.04,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.369995117188,0,0,0.00
001846.220,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.05,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.369995117188,0,0,0.00
001846.230,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.06,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.380004882813,0,0,0.00
001846.240,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.07,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.380004882813,0,0,0.00
001846.250,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.08,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.389984130859,0,0,0.00
001846.260,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.09,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.399993896484,0,0,0.00
001846.270,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.10,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.399993896484,0,0,0.00
001846.280,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.11,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.410003662109,0,0,0.00
001846.290,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.12,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.410003662109,0,0,0.00
001846.300,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.13,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.419982910156,0,0,0.00
001846.310,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.14,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.419982910156,0,0,0.00
001846.320,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.15,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.429992675781,0,0,0.00
001846.330,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.16,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.429992675781,0,0,0.00
001846.340,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.17,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.440002441406,0,0,0.00
001846.350,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.18,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.440002441406,0,0,0.00
001846.360,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.19,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.440002441406,0,0,0.00
001846.370,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.20,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.449981689453,0,0,0.00
001846.380,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.21,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.459991455078,0,0,0.00
001846.390,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.22,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.459991455078,0,0,0.00
001846.400,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.23,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.470001220703,0,0,0.00
001846.410,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.24,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.470001220703,0,0,0.00
001846.420,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.25,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.470001220703,0,0,0.00
001846.430,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.26,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.47998046875,0,0,0.00
001846.440,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.27,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.489990234375,0,0,0.00
001846.450,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.28,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.489990234375,0,0,0.00
001846.460,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.29,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.5,0,0,0.00
001846.470,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.30,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.5,0,0,0.00
001846.480,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.31,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.509979248047,0,0,0.00
001846.490,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.32,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.509979248047,0,0,0.00
001846.500,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.33,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.519989013672,0,0,0.00
001846.510,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.34,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.519989013672,0,0,0.00
001846.520,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.35,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.529998779297,0,0,0.00
001846.530,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.36,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.529998779297,0,0,0.00
001846.540,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.37,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.540008544922,0,0,0.00
001846.550,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.38,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.540008544922,0,0,0.00
001846.560,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.39,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.549987792969,0,0,0.00
001846.570,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.40,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.549987792969,0,0,0.00
001846.580,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.41,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.559997558594,0,0,0.00
001846.590,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.42,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.559997558594,0,0,0.00
001846.600,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.43,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.570007324219,0,0,0.00
001846.610,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.44,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.570007324219,0,0,0.00
001846.620,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.45,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.579986572266,0,0,0.00
001846.630,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.46,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.579986572266,0,0,0.00
001846.640,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.47,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.589996337891,0,0,0.00
001846.650,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.48,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.589996337891,0,0,0.00
001846.660,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.49,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.589996337891,0,0,0.00
001846.670,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.50,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.600006103516,0,0,0.00
001846.680,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.51,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.600006103516,0,0,0.00
001846.690,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.52,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.609985351563,0,0,0.00
001846.700,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.53,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.609985351563,0,0,0.00
001846.710,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.54,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.619995117188,0,0,0.00
001846.720,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.55,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.619995117188,0,0,0.00
001846.730,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.56,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.619995117188,0,0,0.00
001846.740,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.57,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.630004882813,0,0,0.00
001846.750,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.58,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.630004882813,0,0,0.00
001846.760,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.59,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.639984130859,0,0,0.00
001846.770,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.60,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.639984130859,0,0,0.00
001846.780,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.61,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.649993896484,0,0,0.00
001846.790,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.62,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.649993896484,0,0,0.00
001846.800,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.63,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.660003662109,0,0,0.00
001846.810,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.64,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.660003662109,0,0,0.00
001846.820,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.65,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.669982910156,0,0,0.00
001846.830,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.66,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.669982910156,0,0,0.00
001846.840,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.67,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.679992675781,0,0,0.00
001846.850,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.68,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.679992675781,0,0,0.00
001846.860,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.69,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.690002441406,0,0,0.00
001846.870,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.70,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.690002441406,0,0,0.00
001846.880,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.71,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.699981689453,0,0,0.00
001846.890,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.72,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.699981689453,0,0,0.00
001846.900,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.73,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.699981689453,0,0,0.00
001846.910,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.74,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.709991455078,0,0,0.00
001846.920,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.75,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.709991455078,0,0,0.00
001846.930,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.76,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.720001220703,0,0,0.00
001846.940,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.77,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.720001220703,0,0,0.00
001846.950,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.78,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.72998046875,0,0,0.00
001846.960,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.79,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.72998046875,0,0,0.00
001846.970,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.80,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.739990234375,0,0,0.00
001846.980,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.81,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.739990234375,0,0,0.00
001846.990,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.82,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.739990234375,0,0,0.00
001847.000,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.83,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.75,0,0,0.00
001847.010,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.84,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.75,0,0,0.00
001847.020,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.85,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.759979248047,0,0,0.00
001847.030,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.86,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.759979248047,0,0,0.00
001847.040,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.87,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.759979248047,0,0,0.00
001847.050,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.88,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.769989013672,0,0,0.00
001847.060,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.89,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.769989013672,0,0,0.00
001847.070,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.90,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.779998779297,0,0,0.00
001847.080,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.91,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.779998779297,0,0,0.00
001847.090,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.92,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.790008544922,0,0,0.00
001847.100,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.93,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.790008544922,0,0,0.00
001847.110,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.94,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.790008544922,0,0,0.00
001847.120,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.95,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.799987792969,0,0,0.00
001847.130,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.96,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.799987792969,0,0,0.00
001847.140,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.97,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.809997558594,0,0,0.00
001847.150,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.98,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.809997558594,0,0,0.00
001847.160,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.99,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.809997558594,0,0,0.00
001847.170,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.00,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.820007324219,0,0,0.00
001847.180,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.01,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.820007324219,0,0,0.00
001847.190,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.02,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.829986572266,0,0,0.00
001847.200,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.03,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.829986572266,0,0,0.00
001847.210,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.04,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.839996337891,0,0,0.00
001847.220,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.05,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.839996337891,0,0,0.00
001847.230,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.06,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.850006103516,0,0,0.00
001847.240,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.07,0.00,0.00,0.00,0.00,0.00,788.41,0.00,267.850006103516,0,0,0.00
001847.250,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.08,0.00,0.00,0.00,0.00,0.00,788.42,0.00,267.859985351563,0,0,0.00
001847.260,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.09,0.00,0.00,0.00,0.00,0.00,788.42,0.00,267.859985351563,0,0,0.00
001847.270,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.10,0.00,0.00,0.00,0.00,0.00,788.42,0.00,267.859985351563,0,0,0.00
001847.280,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.11,0.00,0.00,0.00,0.00,0.00,788.42,0.12,267.869995117188,0,0,0.00
001847.290,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.12,0.00,0.00,0.00,0.00,0.00,788.42,0.12,267.869995117188,0,0,0.00
001847.300,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.13,0.00,0.00,0.00,0.00,0.00,788.42,0.12,267.880004882813,0,0,0.00
001847.310,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.14,0.00,0.00,0.00,0.00,0.00,788.42,0.12,267.880004882813,0,0,0.00
001847.320,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.15,0.00,0.00,0.00,0.00,0.00,788.42,0.23,267.880004882813,0,0,0.00
001847.330,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.16,0.00,0.00,0.00,0.00,0.00,788.42,0.23,267.889984130859,0,0,0.00
001847.340,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.17,0.00,0.00,0.00,0.00,0.00,788.42,0.32,267.889984130859,0,0,0.00
001847.350,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.18,0.00,0.00,0.00,0.00,0.00,788.42,0.32,267.899993896484,0,0,0.00
001847.360,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.19,0.00,0.00,0.00,0.00,0.00,788.42,0.37,267.899993896484,0,0,0.00
001847.370,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.20,0.00,0.00,0.00,0.00,0.00,788.42,0.37,267.910003662109,0,0,0.00
001847.380,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.21,0.00,0.00,0.00,0.00,0.00,788.42,0.43,267.910003662109,0,0,0.00
001847.390,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.22,0.00,0.00,0.00,0.00,0.00,788.42,0.48,267.910003662109,0,0,0.00
001847.400,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.23,0.00,0.00,0.00,0.00,0.00,788.42,0.48,267.919982910156,0,0,0.00
001847.410,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.24,0.00,0.00,0.00,0.00,0.00,788.42,0.54,267.919982910156,0,0,0.00
001847.420,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.25,0.00,0.00,0.00,0.00,0.00,788.42,0.58,267.929992675781,0,0,0.00
001847.430,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.26,0.00,0.00,0.00,0.00,0.00,788.42,0.63,267.929992675781,0,0,0.00
001847.440,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.27,0.00,0.00,0.00,0.00,0.00,788.43,0.68,267.929992675781,0,0,0.00
001847.450,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,1.28,0.00,0.00,0.00,0.00,0.00,788.43,0.70,267.940002441406,0,0,0.00
