training_episodes,method,eval_episodes,success_80_rate,mean_t80,std_t80,median_t80,mean_invalid_actions,mean_robot_path_length,mean_stay_action_rate,static_like_episode_rate,mean_return,mean_t80_minus_static,improvement_vs_static
0,Static-2R,20,1.0,166.4,5.897367833908705,166.0,0.0,0.0,1.0,1.0,-166.4,0.0,0.0
500,Static-2R,20,1.0,166.4,5.897367833908705,166.0,0.0,0.0,1.0,1.0,-166.4,0.0,0.0
500,IDQN-2R,20,1.0,173.5,9.433981132056603,173.0,235.4,111.6,0.0,0.0,-173.5,7.099999999999994,-7.099999999999994
500,QMIX-2R,20,1.0,184.15,15.342664971283597,182.5,48.95,270.65,0.1322307120418541,0.0,-184.15,17.75,-17.75
1500,IDQN-2R,20,1.0,171.85,7.028326146462801,169.5,318.3,25.4,0.0,0.0,-171.85,5.449999999999989,-5.449999999999989
1500,QMIX-2R,20,1.0,297.0,333.69447103600623,183.0,322.5,83.0,0.4845912592285247,0.0,-297.0,130.6,-130.6
